nome,link,ficha,revogacao,descricao
Decreto de 07 de novembro de 2014,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/dsn/dsn14028.htm,https://legislacao.presidencia.gov.br/atos?tipo=DSN&numero=07/11-14028&ano=2014&data=07/11/2014&ato=aefAzaq5ENVpWT84c,Não consta revogação expressa,"ABRE AO ORÇAMENTO FISCAL DA UNIÃO, EM FAVOR DAS JUSTIÇAS ELEITORAL E DO TRABALHO E DE DIVERSOS ÓRGÃOS DO PODER EXECUTIVO, CRÉDITO SUPLEMENTAR NO VALOR DE R$ 693.354.378,00, PARA REFORÇO DE DOTAÇÕES CONSTANTES DA LEI ORÇAMENTÁRIA VIGENTE."
Decreto de 07 de novembro de 2014,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/dsn/dsn14028.htm,https://legislacao.presidencia.gov.br/atos?tipo=DSN&numero=07/11-14028&ano=2014&data=07/11/2014&ato=aefAzaq5ENVpWT84c,Não consta revogação expressa,"ABRE AO ORÇAMENTO FISCAL DA UNIÃO, EM FAVOR DAS JUSTIÇAS ELEITORAL E DO TRABALHO E DE DIVERSOS ÓRGÃOS DO PODER EXECUTIVO, CRÉDITO SUPLEMENTAR NO VALOR DE R$ 693.354.378,00, PARA REFORÇO DE DOTAÇÕES CONSTANTES DA LEI ORÇAMENTÁRIA VIGENTE."
Decreto de 12 de dezembro de 2013,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/dsn/dsn13738.htm,https://legislacao.presidencia.gov.br/atos?tipo=DSN&numero=12/12-13738&ano=2013&data=12/12/2013&ato=0d4k3YE50MVpWT417,Não consta revogação expressa,"ABRE AOS ORÇAMENTOS FISCAL E DA SEGURIDADE SOCIAL DA UNIÃO, EM FAVOR DE DIVERSOS ÓRGÃOS DO PODER EXECUTIVO, CRÉDITO SUPLEMENTAR NO VALOR DE R$ 658.034.707,00, PARA REFORÇO DE DOTAÇÕES CONSTANTES DA LEI ORÇAMENTÁRIA VIGENTE."
Decreto de 12 de dezembro de 2013,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/dsn/dsn13738.htm,https://legislacao.presidencia.gov.br/atos?tipo=DSN&numero=12/12-13738&ano=2013&data=12/12/2013&ato=0d4k3YE50MVpWT417,Não consta revogação expressa,"ABRE AOS ORÇAMENTOS FISCAL E DA SEGURIDADE SOCIAL DA UNIÃO, EM FAVOR DE DIVERSOS ÓRGÃOS DO PODER EXECUTIVO, CRÉDITO SUPLEMENTAR NO VALOR DE R$ 658.034.707,00, PARA REFORÇO DE DOTAÇÕES CONSTANTES DA LEI ORÇAMENTÁRIA VIGENTE."
Decreto de 16 de outubro de 2012,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/dsn/dsn13434.htm,https://legislacao.presidencia.gov.br/atos?tipo=DSN&numero=16/10-13434&ano=2012&data=16/10/2012&ato=9ffAzZ61kMVpWT36b,Não consta revogação expressa,"ABRE AOS ORÇAMENTOS FISCAL E DA SEGURIDADE SOCIAL DA UNIÃO, EM FAVOR DE DIVERSOS ÓRGÃOS DOS PODERES JUDICIÁRIO E EXECUTIVO, CRÉDITO SUPLEMENTAR NO VALOR DE R$ 690.325.151,00, PARA REFORÇO DE DOTAÇÕES CONSTANTES DA LEI ORÇAMENTÁRIA VIGENTE."
Decreto de 16 de outubro de 2012,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/dsn/dsn13434.htm,https://legislacao.presidencia.gov.br/atos?tipo=DSN&numero=16/10-13434&ano=2012&data=16/10/2012&ato=9ffAzZ61kMVpWT36b,Não consta revogação expressa,"ABRE AOS ORÇAMENTOS FISCAL E DA SEGURIDADE SOCIAL DA UNIÃO, EM FAVOR DE DIVERSOS ÓRGÃOS DOS PODERES JUDICIÁRIO E EXECUTIVO, CRÉDITO SUPLEMENTAR NO VALOR DE R$ 690.325.151,00, PARA REFORÇO DE DOTAÇÕES CONSTANTES DA LEI ORÇAMENTÁRIA VIGENTE."
Lei nº 12.663 de 05 de junho de 2012Veto Parcial,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12663.htm,http://legislacao.planalto.gov.br/legisla/Legislacao.nsf/b110756561cd26fd03256ff500612662/226edf1c1cb95877032569fa00746c27?OpenDocument,Não consta revogação expressa,"DISPÕE SOBRE AS MEDIDAS RELATIVAS À COPA DAS CONFEDERAÇÕES FIFA 2013, À COPA DO MUNDO FIFA 2014 E À JORNADA MUNDIAL DA JUVENTUDE - 2013, QUE SERÃO REALIZADAS NO BRASIL; ALTERA AS LEIS NºS 6.815, DE 19 DE AGOSTO DE 1980, E 10.671, DE 15 DE MAIO DE 2003; E ESTABELECE CONCESSÃO DE PRÊMIO E DE AUXÍLIO ESPECIAL MENSAL AOS JOGADORES DAS SELEÇÕES CAMPEÃS DO MUNDO EM 1958, 1962 E 1970. Produção de efeito"
Lei nº 12.663 de 05 de junho de 2012Veto Parcial,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12663.htm,http://legislacao.planalto.gov.br/legisla/Legislacao.nsf/b110756561cd26fd03256ff500612662/226edf1c1cb95877032569fa00746c27?OpenDocument,Não consta revogação expressa,"DISPÕE SOBRE AS MEDIDAS RELATIVAS À COPA DAS CONFEDERAÇÕES FIFA 2013, À COPA DO MUNDO FIFA 2014 E À JORNADA MUNDIAL DA JUVENTUDE - 2013, QUE SERÃO REALIZADAS NO BRASIL; ALTERA AS LEIS NºS 6.815, DE 19 DE AGOSTO DE 1980, E 10.671, DE 15 DE MAIO DE 2003; E ESTABELECE CONCESSÃO DE PRÊMIO E DE AUXÍLIO ESPECIAL MENSAL AOS JOGADORES DAS SELEÇÕES CAMPEÃS DO MUNDO EM 1958, 1962 E 1970. Produção de efeito"
Lei nº 12.651 de 25 de maio de 2012Veto Parcial,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm,http://legislacao.planalto.gov.br/legisla/Legislacao.nsf/b110756561cd26fd03256ff500612662/a5968c3a7921eaf6032569fa007480c7?OpenDocument,Não consta revogação expressa,"DISPÕE SOBRE A PROTEÇÃO DA VEGETAÇÃO NATIVA; ALTERA AS LEIS NºS 6.938, DE 31 DE AGOSTO DE 1981, 9.393, DE 19 DE DEZEMBRO DE 1996, E 11.428, DE 22 DE DEZEMBRO DE 2006; REVOGA AS LEIS NºS 4.771, DE 15 DE SETEMBRO DE 1965, E 7.754, DE 14 DE ABRIL DE 1989, E A MEDIDA PROVISÓRIA Nº 2.166-67, DE 24 DE AGOSTO DE 2001; E DÁ OUTRAS PROVIDÊNCIAS."
Lei nº 12.651 de 25 de maio de 2012Veto Parcial,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm,http://legislacao.planalto.gov.br/legisla/Legislacao.nsf/b110756561cd26fd03256ff500612662/a5968c3a7921eaf6032569fa007480c7?OpenDocument,Não consta revogação expressa,"DISPÕE SOBRE A PROTEÇÃO DA VEGETAÇÃO NATIVA; ALTERA AS LEIS NºS 6.938, DE 31 DE AGOSTO DE 1981, 9.393, DE 19 DE DEZEMBRO DE 1996, E 11.428, DE 22 DE DEZEMBRO DE 2006; REVOGA AS LEIS NºS 4.771, DE 15 DE SETEMBRO DE 1965, E 7.754, DE 14 DE ABRIL DE 1989, E A MEDIDA PROVISÓRIA Nº 2.166-67, DE 24 DE AGOSTO DE 2001; E DÁ OUTRAS PROVIDÊNCIAS."
Lei nº 11.891 de 24 de dezembro de 2008Veto Parcial,https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11891.htm,https://legislacao.presidencia.gov.br/atos?tipo=LEI&numero=11891&ano=2008&data=24/12/2008&ato=e6cIzYU5UNRpWT9de,Não consta revogação expressa,"DISPÕE SOBRE A CRIAÇÃO DA ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MERUOCA, NO ESTADO DO CEARÁ, E DÁ OUTRAS PROVIDÊNCIAS."
Lei nº 11.891 de 24 de dezembro de 2008Veto Parcial,https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11891.htm,https://legislacao.presidencia.gov.br/atos?tipo=LEI&numero=11891&ano=2008&data=24/12/2008&ato=e6cIzYU5UNRpWT9de,Não consta revogação expressa,"DISPÕE SOBRE A CRIAÇÃO DA ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MERUOCA, NO ESTADO DO CEARÁ, E DÁ OUTRAS PROVIDÊNCIAS."
